Data;PETR4;VALE5;ITUB4;BBDC4;VALE3;PETR3;USIM5;GGBR4;BBAS3;CSNA3;IBOV
11/9/2009;28.6293615;27.54023373;26.2384318;21.04270307;31.43267711;35.55384502;21.28252477;21.4038466;20.04597294;19.53746004;58366
14/9/2009;28.71575064;27.81442639;26.28622493;21.14681044;31.84195676;35.65223302;21.34903266;21.31126941;20.50404196;19.76867258;58867
15/9/2009;28.85397327;28.09668354;26.67653555;21.37454532;32.31672116;36.02789629;21.49154957;21.32978484;20.96938192;20.23109767;59263
16/9/2009;29.67467011;28.50797254;27.03498407;21.79748153;32.94701182;36.67189046;22.32289819;22.07966009;21.26749033;20.90546759;60410
17/9/2009;29.63147554;28.22571539;27.04294959;21.87556206;32.53773217;36.71661228;22.21363523;22.31110307;21.52197312;20.80527549;60236
18/9/2009;29.93383753;28.58861744;27.20226004;21.9601493;32.7341864;36.75238973;22.32764875;22.4684843;21.67466279;21.18292265;60703
21/9/2009;29.89064296;29.1128093;27.00312198;21.7779614;33.29899232;36.80605591;22.35615213;22.68141184;21.44926375;21.14053368;60928
22/9/2009;30.08933799;29.85474239;27.12260482;21.86254864;34.19122195;36.96705446;22.62218369;22.86656622;21.87027744;21.09814471;61493
23/9/2009;29.59691988;29.48377584;26.67653555;21.48515941;33.85561264;36.18889483;22.28014312;22.27407219;21.4093114;20.67425505;60496
24/9/2009;29.19952983;29.15313175;26.40570777;21.33550506;33.26624995;35.46440138;22.14237677;21.9870829;21.29224066;20.38523937;60046
25/9/2009;29.46733617;29.24990563;26.54908718;21.47214599;33.30717791;35.55384502;22.28014312;21.90376343;21.59955135;20.31202206;60355
28/9/2009;30.14117147;29.67732361;27.13853586;21.88206877;33.86379823;36.49300319;22.40365777;22.26481448;21.95076357;20.88619988;61316
29/9/2009;30.0375045;29.45958237;28.03863993;22.44815262;33.56093129;36.52878064;22.28964424;21.97782518;22.36782808;20.61645191;61235
30/9/2009;30.23619953;29.5160338;28.43691606;22.93615594;33.71645756;36.53772501;22.18988241;21.9870829;22.85074488;20.95556364;61517
1/10/2009;29.5845573;28.76603622;28.56600092;22.7930083;32.78329996;35.94449257;21.77658338;21.39458888;22.42636345;20.39294645;60459
2/10/2009;29.68013149;29.49990482;28.68552394;23.06285027;33.52818892;35.79169028;21.9951093;22.08891781;22.18490505;20.63571962;61171
5/10/2009;29.93209982;29.95151627;29.24329802;23.85699866;33.97021094;35.92651583;22.32764875;22.95914341;22.57270187;21.19062973;62369
6/10/2009;29.96685407;30.0079677;28.84488796;23.50549035;34.28126348;36.24110879;22.23263748;23.42202937;22.28002502;21.45267062;62670
7/10/2009;30.11455965;30.63699793;27.92854483;22.56813488;35.10800837;36.40289945;22.56517693;23.56089515;21.73125593;21.48349895;62638
8/10/2009;30.80095613;31.12893183;28.4066369;23.14096323;35.60732954;37.34667833;23.23025583;23.97749251;22.1336866;21.92665633;63759
9/10/2009;30.96603883;31.25796367;28.68552394;23.36879268;35.78741259;37.39162018;23.60555035;23.98675023;22.59465263;21.88812091;64071
13/10/2009;31.12243296;31.1531253;28.76520595;23.6291692;35.44361768;37.5983527;23.87633247;24.94955302;22.97513254;22.23108618;64645
14/10/2009;31.40915555;32.58860454;29.56202606;24.21501637;37.08073628;38.15563165;25.08297562;26.52336527;23.70682465;23.35246703;66201
15/10/2009;31.80014088;32.81441026;29.44250304;24.20199755;37.48183034;38.69493386;25.27299816;27.652807;23.45073241;23.81489211;66703
